text	label	new label
Onko ilmaisia seksichatteja, joissa on aidosti halukkaita naisia  Tietääkö joku, onko olemassa ilmaisia chatteja, joissa naiset aidosti haluavat seksiseuraa? Yleensä niissä puhutaan suoraan sanottuna pelkkää paskaa. Jos joku tietää, niin laita infoa.	obscene	not-toxic
Mitä teen...  Mulla on 15 v lämppäri tamma. se ootta nyt varsaa. sen taka polvet on ihan paskana ja sitä ei siis voi enää liikuttaa. Mitä mun pitäs tehä? laitanko sen teuraaksi vai annanko vanheta täällä. sillä ei oo kipuja, mut jotkut vaan on sanonu, et heppojen taivaasee. ite rakastan sitä mielettömästi, enkä haluis. voiko heppa olla onnellinen ilman työtä varsansa kanssa?	obscene	not-toxic
otat vaan sen espanjan kurssin kirjan esiin, kysyt opettajalta, millä tehtävillä pääsee kokeeseen, teet kokeen ja that's it. Kielen ihminen kerran opeteltuaan osaa ainakin jollakin muulla kuin hylätyn tasolla ja mietippä ku ei tartte muistella ja lukea ku yhteen kokeeseen enää, niin homma on siinä. :) Ja aika omituinen lukio jos ei etänä voi kurssia suorittaa tämän kevään aikana? Eikö se nuoremmillakin 1. ja 2. vuoden opiskelijoilla pitäs vielä koeviikko olla edessä? Tsemppiä!	not-obscene	not-toxic
Montako maitotyttöä lie Suomessa? Tai palstalla? Kyllä maijot nyt kaatuilee. Joillain on jopa hinkit huurteessa. Taidan todeta tähän kuten Lemmy: minen oo koskaan maitua juonu, enkä juo! ;)	not-obscene	not-toxic
Pahalta. Jotenkin mahdottomalta.	not-obscene	not-toxic
tuoda lahjaksi..vain omaan käyttöön ei edes aviopuolisolle jos pilkulla nussitaan.Samoin jos haet viinaa siihen malliin virosta ja sanot jotta omaan käyttöön ilmoittaa tulli poliisille onko syytä tarkistaa kyseisen henkilön kelpoisuus kuljettaa ajoneuvoa jos juo kerran älyttömästi.	obscene	not-toxic
homo hanskat  Opettele sanomaan yhdyssama - HOMO!!!	not-obscene	toxic
"Ja instassa joku ""vajakkiLatvaKakkonen"" hehkuttaa miten inssssssssssssspiroiva Mara on ja huikee ja ihailtu. Voi hellanlettas!"	not-obscene	not-toxic
kylläkait semmoista pelkää, joka ei osaa taklata kuin 5-10 m:n vauhdilla selkään kädet ylhäällä. siis umpitollo.	not-obscene	toxic
Ihan vain mielenkiinnosta kysyn: Mikä fetissi paskaan tänne kirjoittelijoilla on? Ei voi olla kommenttiakaan ilman, että mainitsee tai viittaa paskaan jollain tavalla? Ei millään pahalla, mutta rupeaa huolestuttamaan teidän mielenterveys.	obscene	not-toxic
onkin noiden värivikasten kanssa pas- kat housussa. Suomi vaan ei ole oppinut muiden virheistä näköjään mitään.	obscene	toxic
...oikeesti oikeessa, eikä vain kuvittele niin :oD Ärsytelkää meitä omahyväisiä besserwissereitä oikein kybällä! Pussiin itsensä puhuminen on hieno taito, kannatan sitä! Eli siis: ei ihminen huomaa, jos se on itsensä puhunut pussiin. Vai mitä?	not-obscene	not-toxic
eduskunnan vuosi menot jo noin 50milj niin tehostamis toimenpiteen olisi tätä päivää.	not-obscene	not-toxic
Hörhöö hommaa  Mua ei naisen säärikarvat paljo pitele eikä tussua saa ajella paljaaks!  Kivaa kielellä etsiä mitä puutarhasta löytyykään!  Siis h i t a a s t i, yleensä oon löytäny namia.  Posliinihöpinät on bisnestä ja säärikarvat.  Pääasia ettei oon kauhee lihaskasa millä kasvaa viikset!	obscene	not-toxic
"joo ja sä varmaan tiiät rapista jotain.....et vittu varmaan paskaakaan.toi pikkug on villitys....kun kaikki tytöt kuunelee sitä ku ""se o nii söpö(hihihi)""."	obscene	not-toxic
kuka olet!	not-obscene	not-toxic
Johdattelua.Raide raitio.Tampere tampio	not-obscene	not-toxic
"kyseessä on ""Lea"" jolla on huomattu olevan aina jonkinmoista kääpiöseropia myynnissä...ilmeisesti tehtailee niitä. Hinnat on ihan törkeitä.  Hitto millä tollaiset saa kuriin!!!!!!"	obscene	not-toxic
"satan:""Mitä vikaa on taistella vääryyttä vastaan ja taistella hyväksikäyttöä vastaan, aktiivisesti auttaa uhreja ja ollamoraalinen tuki uskonnon uhreille sekä oikoa väryyksiä? ""  hih...hihhih...hahhahhaaa...hehehehehehehe..(tirsk).....hahaHAHAHAHA(niisk)...hih...HAHHHAHAHHAHHHAHAAH(niisk)...HEHEHEHEHHHHEHHEHEHHHEHHEHH(TIRSK(NIISK))..HIHIIHHIIHHEEHHHEHHEHHEHH(kyyneleitä)...(niisk)...Hahhaahhhahhahhahahhaaaa..(niisk)...(huoh)...  Kiitos. Viikon parasta ateistivitsiantia."	not-obscene	toxic
Tuijota Venäjälle ja vapise pelosta. Sillä aikaa USA tulee lännestä ja puukottaa sua selkään.  Näin se peli kovenee.	not-obscene	not-toxic
maalaisille oma foorumi, näittex mä kirjoitin ähvän.  http://keskustelu.suomi24.fi/show.fcgi?category=2000000000000024	not-obscene	not-toxic
Huomenna juhlitaan Joulupukin syntymäpäivää  Juodaan viinaa ja syödään sianpersettä että rasva valuu suupielistä.	obscene	not-toxic
joo no mulla on koti ainakin ihan mallillaan ja koirat ei pasko sisälle, ja mun koti haisee ruusuilta =))	obscene	not-toxic
Löytyy esimerkiksi tämmöinen:  http://fi.wikipedia.org/wiki/Dreambox  Siihen voi valita 2 mieleistään viritintä (maaverkko/kaapeli/satellitti).  Ja valmistajan kotisivut: http://www.dream-multimedia-tv.de/  Ja hinnasta päätellen ei ole mikään köyhän laite. Eikä myöskään sovi aloittelijoille, jolla ei ole kokemusta Linuxista. Tietty tuo ominaisuus, että sen voi ajastaa netin kautta olisi aika näppärä.  PS: Helpompi ja halvempi ratkaisu olisi, että ostat kaksi boxia.	not-obscene	not-toxic
En usko sua! Miks ne muka vois olla nii isot ku olis aika tyhmää jos kukaa ei voi opiskella.. mist kuulit?	not-obscene	not-toxic
jos ei sitten kiinalaiset keksi vielä jotain. Niillä varmaan mattarit maksaa vähemmän ku meillä herneet niin saadaan hajun lisäksi myös ääni	not-obscene	not-toxic
Siinä kanssa yksi perskeleen tolvana, huutaa ja huutaa, linkittää ja kopio, eikä aavistustakaan miksi ja mitä, se on menneisyyttä ja asioita pitää tehdä nyt uudelta pohjalta.On aivan turha itkeä kun 1996 alkusyksystä Persutkin . . . . helvetti, ne ovat nyt menneisyyttä, edellisen johtoryhmän näkemyksiä aiheista, joille silloin oli kannatusta, maailma on muuttunut ja niin on osittaisn tai kokonaan muuttuneet ajatuksetkin, miksi siis jumalauta toistella satoja kertoja tätä samaa paskaa palstalla. Se ei ole koskaan johtanut mihinkään, selvittänyt sen kummemmin asiaa - miksi siis huudella ja toistella asiaa, josta pitää muistaa vain se, ettei jatkossa Helppo-Heikkejä pidä päästää puolueen johtoon, vaikka lystikäs ja supliikki veke olisikin, vaan kuunnella sitä sanoman sisältöä mitä Puoleesta kerrotaan.	obscene	toxic
Sipilän köyhienkuritustalkoot kalpenevat kun Mulkuni saa leimakirveen käteensä.	not-obscene	not-toxic
Kepulaiset taitaa nuolasta, ennenku on mittään tipahtanakkaa. VAIN Perus Suomalaiset pystyy kääntämään Suomilaivan kurssia.	not-obscene	toxic
Onks taksirengit tyhmiä.Ei voi olla noin tyhmää porukkaa vuonna 2009 suomessa.Aja E kortti ja tuu rekan rattiin.Jos sää olet hyvä kuski,ei isäntä uskalla rähjätä.	not-obscene	not-toxic
Kiihkeänä kommunistina ja lihavana homoseksuaalina vastustan kaikkea, mitä demokraattisista mielipiteistään ja ällöttävästä heteroseksuaalisuudestaan tunnettu Sauli Niinistö tekee! Myös tuhannet sivunikkini vastustavat Saulia!  Suomi oli syyllinen talvisotaan! Stalin ainoastaan puolusti Neuvostoliittoa ja ihanaa kommunismia!	not-obscene	not-toxic
Meikä vaihto Lagunan uuteen 1.6 16v golffiin hiljan ja kuvittelin että nyt olis laatua, kun relluista paukkuu ne JB3 ja JC5-laatikot. Mul oli ajettu sillä lagul satku eikä mitään ongelmia, mut aattelin et mä en rupee hommaamaan siihen uutta laatikkoa jos levii +100tkm:n jälkeen ! Vai samanlaisia paskoja näissä VW:ssä, prkl !! Olis täytyny varmaan vaan ostaa japskikippo.	obscene	not-toxic
Sossujen koulutuksen  Puheenjohtaja yo, usko karvaperse rivijäsen kiertokoulu.Ei toimi tällä vuosituhannella...:)	obscene	toxic
Tuossahan se osa ongelmaa on, naiselle seksi on velvollisuus tai hyödyke.	not-obscene	not-toxic
"Vaikka voidaan laskea, että tuloeliitin autoiluun käyttämä raha on PROSENTTEINA vain niin ja niin vähän, verrattuna siihen prosettiin, jonka köyhä autoilija käyttää samaan tarkoitukseen, niin EUROINA ero on tietysti mahtavan suuri. Jos ""köyhä"" maksaa uuden autonsa veroja esim. 10.000 euroa tai allekin, niin varmaan menee eliitiltä ainakin 4-50.000 euroa ökyautoosa, ja sitten tarvitaan tietysti vielä se kakkosauto. Eikä näillä auta ajaa kovin montaa vuotta, jolloin eikun taas vaan autokauppaan.  PERKULE! Ei tällainen ole sopivaa. Korkea aika siirtää tämä lysti köyhien maksettavaksi!"	obscene	toxic
Miehet eivät yleensä ole yhtä tyhmiä ja avuttomia niin kuin naiset, vaan uskaltavat tehdä asioita. Naiset vaan valittaa.	not-obscene	toxic
Uimataidoton on vedessä aika avuton, mutta uimataitoinen on vahvoilla.	not-obscene	not-toxic
Lööppilehdistä olemme saaneet lukea miten mies rehentelee et Sohvin kans ollut sillai sutinaa jo 2017... Ktysymys kuuluukin alkoikos ne sutinat tällä kertaa ihan heti kun Sohvi oli päässyt tutkinnasta ulos ja Niko jäi kiven sisään?? Joka tapauksessa pokaamalla bestiksen muija ja mahdollisimman julkisesti voinemme todeta et nyt on kyllä järki ja mulkku on seissyt yhtä aikaa..  Stefun ainoa huoli ei näet ole se,mitä exä tekee vaan miten tähän pokaukseen suhtautuu raaka-ranen taustajoukot???? Siinnä selvittelyssä ei Elvistelyt ja Seiskan etusivulla nillittäminen auta pätkääkään...	obscene	not-toxic
Elähän traktori-pave höyryä. Syö liäkkees.	not-obscene	not-toxic
Vain kaltaisesi evokkihörhö ei tuota älläää.  Meikäläinen tuotti yo-kirjoituksissa neljä ällää. Mitenkäs teillä?	not-obscene	toxic
Kissanvihaajat tyhmiä? Osataan panna Panndol 50-00mg pikkukalan sisään.	not-obscene	not-toxic
Kyllä se on idiootti JH, joka voipi haistella, aivan mitä haluaa. Kun ei järkeä ole, sitä vaan ei ole - eikä edes käytöstapoja, saati sitten kykyä peitellä typeryyttään - joutaapi mennä.	not-obscene	toxic
Minusta tuntuu että Kotkan srk on kaupunkimaisin ja ehkä vilkkaudeltaan pienin? Voin olla väärässäkin. Kymi vissiin vanhin ja ehkä perinteikkäin.	not-obscene	not-toxic
sillä hänen tehtävänsä on edustaa Suomea kansainvälisissä ympyröissä. Jäykkä-Saukko tankeronglannillaan munaisi meidät kaikki.	not-obscene	toxic
Voin tulla antaa vauhtia sille ryssälle et varmasti menee perille.	not-obscene	toxic
Pena perkele. Tule tänne, täällä Pirkko. Älä mee ton Lissun luo, ei se mitään taida. Odotetaan yhdessä kesää ja pannaan pökköä pesään.	obscene	toxic
NÄPISTELIJÄ, VARAS, TOSI ROISTO, LE(P)PÄKOSKI OY  KUINKA TÄMÄ SÄHKÖNSIIRTOYHTIÖ MONOPOLI KEHTAA NOSTAA SIIRTOHINTOJA 8,3% SAMAAN AIKAAN KUN HE JUURI JAKOIVAT 2 000 000 € MEILTÄ PERITTYÄ YLIHINTAA JOHDOLLE JA HALLITUKSELLE (LAHJUS ?), JONKA PITÄISI VALVOA NÄIDEN ROISTOJEN TOIMINTAA! KEVÄÄLLÄ HE MYÖS YRITTIVÄT PITKITTÄÄ JOHTOJEN MAAHAN LAITTOA SAAMATTA SIIHEN LUPAA. SÄHKÖNSIIRTOYHTIÖ MOLOPOLIT PITÄISI KANSALLISTAA JA KO. YHTIÖN JOHTO VIEDÄ VÄLITTÖMÄSTI SAUNAN TAA!	not-obscene	toxic
"Asiasta: Blondit ja äly. Kaikki blondit eivät ole kauniita mielestäni. Vain älykkäät blondit ovat kauniita, äly näkyy silmissä. -Tyhmä ""Gro magno"" ei ole mielestäni koskaan kaunis."	not-obscene	not-toxic
valitettavasti on. Oppirahoja kukin on tavalla tai toisella joutunut makselemaan kaikki ei vaan sitä tunnusta tai tunnista.  Avokauppaa autoliikkeet vaan harvemmin harrastavat.Eli pidä tämä nyt hetken ja jos tulee mukavampi jostakin vastaan niin perutaan kauppa näiltä osin.(Toki peruvat mutta se maksaa ne omat prosentit sitten).  Itse jos olen ostanut jotakin vähänkin arvokkaampaa niin olen yrittänyt lopettaa mainoksien seuraamisen, koska yleensä mun zäkällä hankkimani vaikka pesukone maksaa parin kuukauden päästä 50% vähemmän TARJOUKSESSA!  Noo ei hätiämitiä. Se mikä ei tapa niin se vahvistaa. Ja kun rahalla selviää niin aina parempi.(Vituttaa aikansa mutta ei varmaankaan ole ylitsepääsemättömissä). Taas yhtä elämänviisautta fiksumpana kohti uusia seikkailuja ja valloituksia!	obscene	not-toxic
Ei se vaihdosta parane. Samaa paskaa, eri paketissa.	obscene	not-toxic
Vai perheen. Naiset alistettuja. Huivpäisiä ukon palvojia.	not-obscene	toxic
"täyssika se on niinku kaikki muutki maansa ""miehet""!!!!!!!!! sentakia ne ei syö sikaa, ku se ois kannibalismia eli saman rodun syömistä..."	not-obscene	toxic
"Hyi vittu kun  Kuppanen äijä kuolaamassa ruudun ääres. Joo, justiinsa joo, paras sanomaan kuka on kaunein? Pitäs järkätä kisa kuka on kuppasin ukko netissä? Tiedän jo voittajan, se on ""pulinat pois""."	obscene	toxic
pysy siellä kainuussa Täällä eteläss on jo tarpeeksi korvarengas pellejä-- jaa onpi niillä nenääskin niillä lapin/kainuun homoilla. joo ja tukka porkkanan punainen heheh	not-obscene	toxic
kiitos  *muffutufta*	not-obscene	not-toxic
Macromedia inc FlashPlayer7  Miten v***ssa tuon saa pois koneelta. Suojausvaroitus mukamas. Ilmestyy lähes joka sivulle minkä aukaisen. En aio asentaa Playeriä. Olen estänyt RedSheriffin ja paljon muutakin. Siitäkö se johtuu. Mielestäni mulla on oikeus päättää mitä koneelleni päästä. Mikä esto vielä pitää laittaa. IE on.	obscene	not-toxic
Jäikö sadistilta Capslock päälle.Taitaa olla aika tuhoisaa aivoille tuo lihan mussutus :D .Painu vaan pum pum metsälle isoa poikaa leikkimään.	not-obscene	toxic
jotain diosta ja gellanista ja niiden ulkonäöstä EVVK	not-obscene	not-toxic
En väitä mitään, enkä tiedä muuta kuin että omassani on.  Joo saattaa olla niin harvinaista että ehkä sinun(kin) on parempi odotella rauhassa vuokralla ja ostaa piakkoin -70%hinnalla sellainen jossa löytyy.	not-obscene	not-toxic
"Ylläpito hoi! Tässä on seuraava joka haluaa pääsyä laitoshoitoon. Vinkki viranomaisille. Muuten, kyllä ihmisillä on oikeus pihallaan olla ilman että henki lähtee. Oletan tietysti lähtökohtaisesti, että ihmiset ainakin vakavissa asioissa puhuvat tosissaan. Tosin nettihörjöt voivat mikäli joku asiaan puuttuu, että ihan vain läpällä vaan. Vitsi, vitsi. Haittaaks se? Veikkaan, että tässä tapauksessa avohuoltoon päästetty kuntoutuja päätti tappaa kenet vain päästäkseen laitokseen takaisin. Keravalla (Savio) oli äskettäin vastaava tapaus. Poika tappoi tuntemattoman tytön urheilukentällä. Muitakin tapauksia on ollut ja lisää tulee. Mielenterveyshuolto on todella retuperällä. Psykiatriset hoitolaitokset takaisin. Ihmishenget eivät saa demokraattisessa yhteiskunnassa olla säästökohde. Suuri virhe tehtiin kun laitokseen kuuluvat ihmiset passitettiin ulos kadulle ja avohoitoon"". Löpsö suhtautuminen huumausaineiden väärinkäyttäjiin vain lisää ongelmaa. ""  Joo tappajat kuuluu vankilaan tai hirttosilmukkaan, en mä sitä puolustele vaan olen sitä vastaan että sun mielestä valta päättää ihmisen vapaudesta ja suljetaan kaikki pöpilään siksi että on ""hullu"". Mikä mlkku sinäkin siinä olet kun leikit jotain natsijohtajaa ja pistelet porukkaa telkien taakse tuosta vaan ? Onko se inhimillistä? Ja kallonkutistajat ovat pskiaisia koska leikkivät ihmisten yksityisasioilla riistäen heidän vapautensa, kato valta päättää. kyllä tästä ongelmasta on puhetta pitkin nettiä ja yhteiskuntahan senkin päättää.  tämä sinun yhteiskuntasi on mennyt poliisivaltioksi, että vetäisehän sinä römpsätuhero päähäs ja painu m*lkku v*ttuun täältä hölisemästä viranomaisillasi. Just tuollaisia vasikoita ja huolestujia kukkahattuh*moja täällä kouvostoliitossa riittää.  onneksi en yleensä näitä shit palstoja luekaan tämän enempää mutta pakko puuttua vähäsen kun sunlaisia natsisikoja tulee tänne elvistelemään.  Sossu on sika koska sillä on valtaa ja panee porukkaa edunvalvontaan, vie lapset huushollista ihan tuosta vaan.  Kun et sinä mistään mitään tiedä niin suksi vaan v*ttuun täältä ja hoida itseäsi vaan, paina piikki takalistoosi ja alistu vallalle vaan.  Opettele lukemaan viestit oikein äläkä lässytä."	obscene	toxic
163 HEPPAA	not-obscene	not-toxic
"Lukekaa miten se armeija oikeasti käydään.  Muutama keikka on tosi tarina MIEHESTÄ joka uskalsi olla oma itsensä, myös armeijassa. VAROITUS! Ei lälläri pojille ( muka miehille???). lue eläkä lässytä. https://muutama-keikka.webnode.fi jos et jaksa lukea ensin oikeasta elämästä vaan haluaisit lukea äidin sylistä (valita, äidin sylistä ei kerrota mitään, mene neuvolaan), niin sieltä sivulta löytyy armeija ""osia"" erikseen kun kelaat alas päin. Hyvää lukuhetkeä toivottaa sinulle armeijan setä, ja paskat."	obscene	toxic
Luin juuri uutisen IStä ja JÄRKYTYIN! Mitä helv*ett*ä!?!?!? Nokia hyysää saksalaisia haisevia makkaransyöjiä! Miksi nokia on vastuussa saksalaisten työllistämisestä?? Eikö yritys saa vapaasti liikkua ja kehittyä niin kuin markkinoiden tilanne vaatii, miksi juuri saksassa pitäisi pysyä?? 200milj. lisäksi vuoden mittainen uudelleensijoittamisoperaatio maksa €€€€€€€!!  Veikkaan että näin kävi vain siksi että saksa on EUn tärkeimpiä maita... Mutta ei silti ymmärrä miksi Nokian täytyy maksaa?? Voisiko joku selittää?	obscene	toxic
"Yritätkö kusettaa kun lasket kaikki konsernin eri merkit yhteen yhdeksi""autoksi""? Eikä siltikään pärjää maailmanlaajuisesti maailman ykkösmerkille, siis suosituimmalle automerkille. Toyota se Trafinkin ensirekisteröintitilastossa vaan vetää Suomessakin yhä pidempää kaulaa Skodaan ja Volkkarihan on pudonnut jo sijoille ynnä muut marginaalimerkit."	obscene	not-toxic
miten voit sanoa,et kaki voittaa, jos et tiedä koko heppua? HÖLÖMÖ!	not-obscene	toxic
iraqilaiset, soomaalit, kosovolaiset jne, ovat olleet maassamme Jo 1990-luvulta : TYÖLLISYYSPROSENTTINSA HUITELEE 10% kieppeillä.  Suurin osa tänne tänäkin vuonna on iraqi, afghan jne tyyppejä ja jo ennestään tilanne paska heidän osaltaan....PELKKÄ ALALUOKKAINEN KULUERÄ...........  NYT EN PUHU KOULUTETUISTA MAAHANMUUTTAJATYHMISTÄ /ja tai itsensä hyvin työllistäneistä, kuten britit, saksalaiset, kiinalaiset, vietnamilaiset jne...  -huomataan, että tilastojenkin valossa muslimimaista tulevat tulevat vain KUORMITTAMAAN YHTEISKUNTAAMME, EIKÄ VAIN RAHALLISESTI....  -näistäkin löytyy tilastokeskuksen jne faktaa, eli fakta tärkein, ei unelmahötöt, luulot, toiveet, unet, ym ideologiat...	obscene	toxic
Etelän Vetelillä mennyt pupu pöksyyn ja peukalo keskelle kämmentä kun eivät saa itse lumiaan pois? Sinne vaan kaupunkilaiset lapio kouraan ja hihat heilumaan. Ei se ole kuin tahdosta kiinni. Pv:ltä vähän kalustoapua, niin eiköhän se siitä.	not-obscene	toxic
Persu taas öyhöttää. Onko kaljaa taas nuppi täynnä?	not-obscene	toxic
en ole sanonut olevani sen kummmempi vittuilija kuinmuutkaan enkä ole...Ja sulle kyllä uskaltaisin,huvittaa tuollaet säälittävät kehitysvammaset ja tyhmät murklkupenmnut,jotka koittaa uhitella...Kyllä mä uskallan,jos on tarvetta,riippuu tietenkin ihmisestä...	obscene	toxic
Sellutehtaalla on porilaisia töissä! Ja vitut. Yksikään porissa asuva ja raumalla töissä käyvä ei ole porilainen vaan hylkiö persereikä jota ei porissa kaivata.näin on.	obscene	toxic
"Nykyisin suosituinta nuoriso""musaa"" on rap. Ei jaksa käsittää, mikä tuossa paskassa on pihvinä! Mitä hohtoa on oikeasti jossain Kiikin, Elastisen tai Palefacen jankutuksessa? Silkkaa paskaa!"	obscene	toxic
mihinkäs umpihulluun pikkulahkoon sinä kuulut	not-obscene	toxic
"Outokummun kaupungin yt-neuvottelut  Taas mennään perse edellä puuhun että rytinä käy. Onko meillä varaa lomautuksiin tilanteessa jossa suorittavan portaan työpanos on elintärkeää.. Terveydenhuolto toimii nyt jo natisemalla liitoksistaan, potilasturvallisuus kärsii jo nyt hoitajapulasta saati sitten kun potkitaan väkeä lomille. Hallinnossa on tarpeetonta väkeä ja säästöt näin ollen suurempia mutta heitä ei uskalleta potkia pihalle, mieluummin syötetään vaikka selälleen... Odotamme mielenkiinnolla milloin Juko tai muu taho haastaa tapahtuvista rikkeistä oikeuteen ja säästöt valuvat hiekkaan.. xxxxxxxxxx ""Neuvotteluja käytiin huhtikuussa kahden viikon ajan.  Yt-neuvottelujen lopputuloksena Outokummun kaupunki lomauttaa enintään 21 henkilöä kuluvan vuoden aikana. Lomautettavista viisi työskentelee hallintopalveluissa ja 16 hyvinvointipalveluissa. Lomautukset kestävät enintään 90 päivää.  Lisäksi työsopimuslain mukainen työn keskeytys voidaan tehdä enintään yhdeksälle henkilölle, ja viidelle se on jo tehty.  Kaupunginhallituksen esityslistan mukaan työntekijäjärjestöjen luottamushenkilöt katsovat ”työnantajan päättäneen lomautuksista yksipuolisesti”. Jukon luottamushenkilö ei kirjauksen mukaan hyväksy toimia, koska hänen mielestään neuvotteluissa ei ole toimittu riittävästi yt-lain hengen mukaisesti."" (Karjalainen 23.4.2020 )"	obscene	not-toxic
"Oikeessa oot, ei sormenpäässä, vaan kyrvänpäässä.. Se että olin vähänaikaa pois, niin anteeks, lupaan olla aktiivisempi. AP:N juttu, että akat vertailee jotain kaljabaarin deekuja, ei vaikuta oikein hyvältä...millaisia ""dooriksia"" nää mahtaakaan olla??!!"	obscene	not-toxic
homot ovat uskovaisten pyhiä lehmiä	not-obscene	toxic
"Hehehe... ""pitäsköhän muuttaa Sveitsiin..."". Sveitsihän on nimenomaan muuttovastainen maa. Sinne ei muuteta ainakaan Suomesta. Suomalaismamut ovat niitä pahimpia loisia."	not-obscene	toxic
Kerro niin väännän sen sinulle rautalangasta. K AN N A B I S E I O L E V A A R A L L I S T A ! Ei myöskään huume!	not-obscene	not-toxic
